1;1;LIBERTADOR;1
2;1;ALTO ORINOCO;1
2;2;ATABAPO;1
2;3;ATURES;1
2;4;AUTANA;1
2;5;MAROA;1
2;6;MANAPIARE;1
2;7;RIO NEGRO;1
3;1;ANACO;1
3;2;ARAGUA;1
3;3;FERNANDO DE PENALVER;1
3;4;FRANCISCO DEL CARMEN CARVAJAL;1
3;5;FRANCISCO DE MIRANDA;1
3;6;GUANTA;1
3;7;INDEPENDENCIA;1
3;8;JUAN ANTONIO SOTILLO;1
3;9;JUAN MANUEL CAJIGAL;1
3;10;JOSE GREGORIO MONAGAS;1
3;11;LIBERTAD;1
3;12;MANUEL EZEQUIEL BRUZUAL;1
3;13;PEDRO MARIA FREITES;1
3;14;PIRITU;1
3;15;SAN JOSE DE GUANIPA;1
3;16;SAN JUAN DE CAPISTRANO;1
3;17;SANTA ANA;1
3;18;SIMON BOLIVAR;1
3;19;SIMON RODRIGUEZ;1
3;20;SIR ARTUR MC GREGOR;1
3;21;TURISTICO DIEGO BAUTISTA URBANEJA;1
4;1;ACHAGUAS;1
4;2;BIRUACA;1
4;3;MUNOZ;1
4;4;PAEZ;1
4;5;PEDRO CAMEJO;1
4;6;ROMULO GALLEGOS;1
4;7;SAN FERNANDO;1
5;1;BOLIVAR;1
5;2;CAMATAGUA;1
5;3;GIRARDOT;1
5;4;JOSE ANGEL LAMAS;1
5;5;JOSE FELIX RIBAS;1
5;6;JOSE RAFAEL REVENGA;1
5;7;LIBERTADOR;1
5;8;MARIO BRICENO IRAGORRY;1
5;9;SAN CASIMIRO;1
5;10;SAN SEBASTIAN;1
5;11;SANTIAGO MARINO;1
5;12;SANTOS MICHELENA;1
5;13;SUCRE;1
5;14;TOVAR;1
5;15;URDANETA;1
5;16;ZAMORA;1
5;17;FRANCISCO LINARES ALCANTARA;1
5;18;OCUMARE DE LA COSTA DE ORO;1
6;1;ALBERTO ARVELO TORREALBA;1
6;2;ANTONIO JOSE DE SUCRE;1
6;3;ARISMENDI;1
6;4;BARINAS;1
6;5;BOLIVAR;1
6;6;CRUZ PAREDES;1
6;7;EZEQUIEL ZAMORA;1
6;8;OBISPOS;1
6;9;PEDRAZA;1
6;10;ROJAS;1
6;11;SOSA;1
6;12;ANDRES ELOY BLANCO;1
